,OPID,WoPC,current_no2_x,rivm_nsl_2,current_no2_y
0,56175178833,3552,21.75611181808472,21.52997,21.75611181808472
1,56175178833,3552,21.75611181808472,21.52997,21.75611181808472
2,56175178833,3552,21.75611181808472,21.52997,21.75611181808472
3,56175178833,3552,21.75611181808472,21.52997,21.75611181808472
4,58937334850,3552,23.82524982868542,21.52997,23.15728519038661
5,58937334850,3552,23.82524982868542,21.52997,23.15728519038661
6,58937334850,3552,23.82524982868542,21.52997,23.15728519038661
7,58937334850,3552,23.82524982868542,21.52997,23.15728519038661
8,58937334850,3552,22.489320552087797,21.52997,23.15728519038661
9,58937334850,3552,22.489320552087797,21.52997,23.15728519038661
10,58937334850,3552,22.489320552087797,21.52997,23.15728519038661
11,58937334850,3552,22.489320552087797,21.52997,23.15728519038661
12,58937336896,3552,24.75438563041454,21.52997,24.10221544529247
13,58937336896,3552,24.75438563041454,21.52997,24.10221544529247
14,58937336896,3552,23.4500452601704,21.52997,24.10221544529247
15,58937336896,3552,23.4500452601704,21.52997,24.10221544529247
16,59030328836,3552,24.92754608746,21.52997,24.032094052601263
17,59030328836,3552,24.92754608746,21.52997,24.032094052601263
18,59030328836,3552,24.92754608746,21.52997,24.032094052601263
19,59030328836,3552,22.554606083301202,21.52997,24.032094052601263
20,59030328836,3552,22.554606083301202,21.52997,24.032094052601263
21,59030328836,3552,22.554606083301202,21.52997,24.032094052601263
22,59030328836,3552,24.61412998704258,21.52997,24.032094052601263
23,59030328836,3552,24.61412998704258,21.52997,24.032094052601263
24,59030328836,3552,24.61412998704258,21.52997,24.032094052601263
25,59058174338,3552,20.619370337422684,21.52997,21.068163140117758
26,59058174338,3552,20.619370337422684,21.52997,21.068163140117758
27,59058174338,3552,21.51695594281283,21.52997,21.068163140117758
28,59058174338,3552,21.51695594281283,21.52997,21.068163140117758
29,59061334168,3552,22.137692595676,21.52997,21.773252735326093
30,59061334168,3552,22.137692595676,21.52997,21.773252735326093
31,59061334168,3552,22.137692595676,21.52997,21.773252735326093
32,59061334168,3552,22.137692595676,21.52997,21.773252735326093
33,59061334168,3552,22.137692595676,21.52997,21.773252735326093
34,59061334168,3552,19.5837835420073,21.52997,21.773252735326093
35,59061334168,3552,19.5837835420073,21.52997,21.773252735326093
36,59061334168,3552,19.5837835420073,21.52997,21.773252735326093
37,59061334168,3552,19.5837835420073,21.52997,21.773252735326093
38,59061334168,3552,19.5837835420073,21.52997,21.773252735326093
39,59061334168,3552,21.06752185054495,21.52997,21.773252735326093
40,59061334168,3552,21.06752185054495,21.52997,21.773252735326093
41,59061334168,3552,21.06752185054495,21.52997,21.773252735326093
42,59061334168,3552,21.06752185054495,21.52997,21.773252735326093
43,59061334168,3552,21.06752185054495,21.52997,21.773252735326093
44,59061334168,3552,23.749915004984537,21.52997,21.773252735326093
45,59061334168,3552,23.749915004984537,21.52997,21.773252735326093
46,59061334168,3552,23.749915004984537,21.52997,21.773252735326093
47,59061334168,3552,23.749915004984537,21.52997,21.773252735326093
48,59061334168,3552,23.749915004984537,21.52997,21.773252735326093
49,59061334168,3552,22.327350683417684,21.52997,21.773252735326093
50,59061334168,3552,22.327350683417684,21.52997,21.773252735326093
51,59061334168,3552,22.327350683417684,21.52997,21.773252735326093
52,59061334168,3552,22.327350683417684,21.52997,21.773252735326093
53,59061334168,3552,22.327350683417684,21.52997,21.773252735326093
54,59089166526,3552,24.194950906829867,21.52997,22.501338412330398
55,59089166526,3552,24.194950906829867,21.52997,22.501338412330398
56,59089166526,3552,24.194950906829867,21.52997,22.501338412330398
57,59089166526,3552,18.941748911130333,21.52997,22.501338412330398
58,59089166526,3552,18.941748911130333,21.52997,22.501338412330398
59,59089166526,3552,18.941748911130333,21.52997,22.501338412330398
60,59089166526,3552,24.367315419030998,21.52997,22.501338412330398
61,59089166526,3552,24.367315419030998,21.52997,22.501338412330398
62,59089166526,3552,24.367315419030998,21.52997,22.501338412330398
63,59092327627,3552,24.92754608746,21.52997,24.92754608746
64,59092327627,3552,24.92754608746,21.52997,24.92754608746
65,59092327627,3552,24.92754608746,21.52997,24.92754608746
66,59092327627,3552,24.92754608746,21.52997,24.92754608746
67,59092327627,3552,24.92754608746,21.52997,24.92754608746
68,59092327627,3552,24.92754608746,21.52997,24.92754608746
69,59092327627,3552,24.92754608746,21.52997,24.92754608746
70,59120171796,3552,24.75438563041454,21.52997,23.9422091736116
71,59120171796,3552,24.75438563041454,21.52997,23.9422091736116
72,59120171796,3552,24.75438563041454,21.52997,23.9422091736116
73,59120171796,3552,23.130032716808664,21.52997,23.9422091736116
74,59120171796,3552,23.130032716808664,21.52997,23.9422091736116
75,59120171796,3552,23.130032716808664,21.52997,23.9422091736116
76,59123341608,3552,20.31090415448325,21.52997,21.212415270656475
77,59123341608,3552,20.31090415448325,21.52997,21.212415270656475
78,59123341608,3552,22.1139263868297,21.52997,21.212415270656475
79,59123341608,3552,22.1139263868297,21.52997,21.212415270656475
80,59151171641,3552,27.68670038713437,21.52997,24.704738063168804
81,59151171641,3552,27.68670038713437,21.52997,24.704738063168804
82,59151171641,3552,27.68670038713437,21.52997,24.704738063168804
83,59151171641,3552,27.68670038713437,21.52997,24.704738063168804
84,59151171641,3552,27.68670038713437,21.52997,24.704738063168804
85,59151171641,3552,21.65589945944214,21.52997,24.704738063168804
86,59151171641,3552,21.65589945944214,21.52997,24.704738063168804
87,59151171641,3552,21.65589945944214,21.52997,24.704738063168804
88,59151171641,3552,21.65589945944214,21.52997,24.704738063168804
