OPID,WoPC,current_no2_x,rivm_no2,mob_no2
56144375280,1053,27.45387819,24.69004,27.45387819
56144375280,1053,27.45387819,24.69004,27.45387819
56144375280,1053,27.45387819,24.69004,27.45387819
56144375280,1053,27.45387819,24.69004,27.45387819
58934187513,1053,25.73566108,24.69004,24.6902196
58934187513,1053,25.73566108,24.69004,24.6902196
58934187513,1053,25.73566108,24.69004,24.6902196
58934187513,1053,23.4343874,24.69004,24.6902196
58934187513,1053,23.4343874,24.69004,24.6902196
58934187513,1053,23.4343874,24.69004,24.6902196
58934187513,1053,24.90061033,24.69004,24.6902196
58934187513,1053,24.90061033,24.69004,24.6902196
58934187513,1053,24.90061033,24.69004,24.6902196
58934189714,1053,25.94786268,24.69004,25.94786268
58934189714,1053,25.94786268,24.69004,25.94786268
58937625506,1053,27.19928213,24.69004,26.25834739
58937625506,1053,27.19928213,24.69004,26.25834739
58937625506,1053,25.31741265,24.69004,26.25834739
58937625506,1053,25.31741265,24.69004,26.25834739
58965176818,1053,25.24401174,24.69004,25.31188348
58965176818,1053,25.24401174,24.69004,25.31188348
58965176818,1053,25.24401174,24.69004,25.31188348
58965176818,1053,25.24401174,24.69004,25.31188348
58965176818,1053,25.24401174,24.69004,25.31188348
58965176818,1053,25.24401174,24.69004,25.31188348
58965176818,1053,26.56668913,24.69004,25.31188348
58965176818,1053,26.56668913,24.69004,25.31188348
58965176818,1053,26.56668913,24.69004,25.31188348
58965176818,1053,26.56668913,24.69004,25.31188348
58965176818,1053,26.56668913,24.69004,25.31188348
58965176818,1053,26.56668913,24.69004,25.31188348
58965176818,1053,23.76700968,24.69004,25.31188348
58965176818,1053,23.76700968,24.69004,25.31188348
58965176818,1053,23.76700968,24.69004,25.31188348
58965176818,1053,23.76700968,24.69004,25.31188348
58965176818,1053,23.76700968,24.69004,25.31188348
58965176818,1053,23.76700968,24.69004,25.31188348
58965176818,1053,25.66982337,24.69004,25.31188348
58965176818,1053,25.66982337,24.69004,25.31188348
58965176818,1053,25.66982337,24.69004,25.31188348
58965176818,1053,25.66982337,24.69004,25.31188348
58965176818,1053,25.66982337,24.69004,25.31188348
58965176818,1053,25.66982337,24.69004,25.31188348
58996182181,1053,23.87240372,24.69004,24.90560075
58996182181,1053,23.87240372,24.69004,24.90560075
58996182181,1053,23.87240372,24.69004,24.90560075
58996182181,1053,25.93879778,24.69004,24.90560075
58996182181,1053,25.93879778,24.69004,24.90560075
58996182181,1053,25.93879778,24.69004,24.90560075
58999629474,1053,24.75837813,24.69004,25.30754586
58999629474,1053,24.75837813,24.69004,25.30754586
58999629474,1053,24.75837813,24.69004,25.30754586
58999629474,1053,25.71781512,24.69004,25.30754586
58999629474,1053,25.71781512,24.69004,25.30754586
58999629474,1053,25.71781512,24.69004,25.30754586
58999629474,1053,25.44644434,24.69004,25.30754586
58999629474,1053,25.44644434,24.69004,25.30754586
58999629474,1053,25.44644434,24.69004,25.30754586
58999650523,1053,28.20213619,24.69004,28.20213619
58999650523,1053,28.20213619,24.69004,28.20213619
59027185808,1053,29.51486689,24.69004,29.51486689
59027185808,1053,29.51486689,24.69004,29.51486689
59027185808,1053,29.51486689,24.69004,29.51486689
59027185808,1053,29.51486689,24.69004,29.51486689
59030612796,1053,26.44358646,24.69004,26.44358646
59061633721,1053,26.08929204,24.69004,25.71824953
59061633721,1053,26.08929204,24.69004,25.71824953
59061633721,1053,26.08929204,24.69004,25.71824953
59061633721,1053,26.08929204,24.69004,25.71824953
59061633721,1053,26.08929204,24.69004,25.71824953
59061633721,1053,25.34720703,24.69004,25.71824953
59061633721,1053,25.34720703,24.69004,25.71824953
59061633721,1053,25.34720703,24.69004,25.71824953
59061633721,1053,25.34720703,24.69004,25.71824953
59061633721,1053,25.34720703,24.69004,25.71824953
59089180011,1053,23.0435031,24.69004,24.49115044
59089180011,1053,23.0435031,24.69004,24.49115044
59089180011,1053,23.0435031,24.69004,24.49115044
59089180011,1053,23.0435031,24.69004,24.49115044
59089180011,1053,23.0435031,24.69004,24.49115044
59089180011,1053,25.93879778,24.69004,24.49115044
59089180011,1053,25.93879778,24.69004,24.49115044
59089180011,1053,25.93879778,24.69004,24.49115044
59089180011,1053,25.93879778,24.69004,24.49115044
59089180011,1053,25.93879778,24.69004,24.49115044
