OPID,WoPC,current_no2_x,Average_NO2,current_no2_y
59058172943,3572,28.31036833,45.9200025,28.31036833
59216346320,3453,30.5403825,38.32097417,30.5403825
59154349668,3553,32.29464,45.6650425,32.29464
59216354318,3564,55.37329779,40.89195667,33.12759764
59216354318,3564,10.8818975,40.89195667,33.12759764
58965165131,3523,33.82819333,48.08086417,33.82819333
59151175733,3531,33.82819333,48.0142775,33.82819333
58965164604,3524,35.05566,43.83816417,35.05566
59275196286,3452,31.19849388,40.16425833,35.27303244
59275196286,3452,39.34757099,40.16425833,35.27303244
58996170587,3452,35.72235303,40.16425833,35.72235303
59154349513,3544,36.13175404,44.815645,36.13175404
59154352024,3454,36.16869796,40.33584,36.16869796
59182172695,3455,40.43991367,31.7410375,36.56522985
59182172695,3455,32.69054603,31.7410375,36.56522985
58968321551,3453,36.72116367,38.32097417,36.72116367
58934171362,3543,37.26117693,42.59304,37.26117693
59154352396,3571,50.72285283,45.43473,37.35365641
59154352396,3571,23.98446,45.43473,37.35365641
59027166340,3454,35.60082165,40.33584,37.44473251
59027166340,3454,39.28864338,40.33584,37.44473251
58965161814,3521,48.07377024,55.029855,37.65413012
58965161814,3521,27.23449,55.029855,37.65413012
59120172602,3523,37.6908375,48.08086417,37.6908375
59278397935,3524,37.6908375,43.83816417,37.6908375
59089169409,3454,37.79446282,40.33584,37.79446282
59213171765,3454,37.8148747,40.33584,37.8148747
59275198394,3524,43.94907738,43.83816417,37.86906248
59275198394,3524,39.33189915,43.83816417,37.86906248
59275198394,3524,40.92976005,43.83816417,37.86906248
59275198394,3524,27.26551333,43.83816417,37.86906248
59154354752,3552,37.9748625,47.74365833,37.9748625
56178354349,3531,38.141175,48.0142775,38.141175
59030328898,3527,38.141175,47.73482,38.141175
59061339283,3544,40.60637521,44.815645,38.21509635
59061339283,3544,35.8238175,44.815645,38.21509635
58965164914,3544,38.33846552,44.815645,38.33846552
59182174276,3453,40.25992022,38.32097417,38.35878806
59182174276,3453,36.4576559,38.32097417,38.35878806
59058171610,3584,38.63449025,41.01686,38.4085741
59058171610,3584,38.18265796,41.01686,38.4085741
59244191481,3541,38.42174917,44.18824333,38.42174917
59058173160,3454,38.44964671,40.33584,38.44964671
59120172881,3452,36.35189138,40.16425833,38.57208173
59120172881,3452,36.695822,40.16425833,38.57208173
59120172881,3452,42.33126689,40.16425833,38.57208173
59120172881,3452,38.90934667,40.16425833,38.57208173
59089166526,3552,35.09825874,47.74365833,38.61520113
59089166526,3552,42.13214352,47.74365833,38.61520113
59244190551,3452,37.51200965,40.16425833,38.75404818
59244190551,3452,39.99608672,40.16425833,38.75404818
59154355403,3544,38.88460941,44.815645,38.88460941
59092326418,3581,50.21041274,45.78175167,38.94063583
59092326418,3581,37.52886368,45.78175167,38.94063583
59092326418,3581,43.77621191,45.78175167,38.94063583
59092326418,3581,24.247055,45.78175167,38.94063583
59154355000,3572,38.94413524,45.9200025,38.94413524
59123341949,3523,42.43678388,48.08086417,38.97915034
59123341949,3523,49.12952215,48.08086417,38.97915034
59123341949,3523,25.371145,48.08086417,38.97915034
59027171145,3573,36.41719006,40.97689417,39.0185172
59027171145,3573,41.1712246,40.97689417,39.0185172
59027171145,3573,39.46713695,40.97689417,39.0185172
58968323814,3533,39.1194525,47.4578575,39.1194525
59120350449,3544,38.36401414,44.815645,39.11963045
59120350449,3544,39.87524675,44.815645,39.11963045
59058172974,3543,40.56541061,42.59304,39.1486303
59058172974,3543,37.73185,42.59304,39.1486303
59154350443,3452,39.20970368,40.16425833,39.20970368
59030327720,3454,40.7422598,40.33584,39.24421708
59030327720,3454,37.74617437,40.33584,39.24421708
59061334478,3544,39.33672979,44.815645,39.33672979
59244192163,3524,36.6321926,43.83816417,39.3779691
59244192163,3524,42.1237456,43.83816417,39.3779691
59247399795,3524,41.11432166,43.83816417,39.53544905
59247399795,3524,37.95657644,43.83816417,39.53544905
56175179732,3563,39.64964575,44.75394083,39.64964575
58934170339,3583,39.70898814,44.54628667,39.70898814
59027167797,3581,39.83335494,45.78175167,39.83335494
59027167053,3544,39.94069894,44.815645,39.94069894
58968321892,3451,39.96212254,38.51100417,39.96212254
59185340492,3541,40.1056866,44.18824333,40.1056866
59182170649,3572,40.10849367,45.9200025,40.10849367
59244192721,3581,40.1223562,45.78175167,40.1223562
59123346785,3543,38.08512478,42.59304,40.34344118
59123346785,3543,42.60175758,42.59304,40.34344118
58999340616,3453,40.37155748,38.32097417,40.37155748
58937337671,3544,36.78335024,44.815645,40.38846594
58937337671,3544,43.99358163,44.815645,40.38846594
59058170401,3555,41.14702615,42.7075625,40.42228766
59058170401,3555,39.69754917,42.7075625,40.42228766
58968322264,3584,43.01988677,41.01686,40.44466696
58968322264,3584,37.86944716,41.01686,40.44466696
59151170711,3451,40.5196698,38.51100417,40.5196698
59120170959,3561,41.72277171,45.09513833,40.59951574
59120170959,3561,39.47625977,45.09513833,40.59951574
58937337578,3573,42.2728601,40.97689417,40.68379287
58937337578,3573,39.09472564,40.97689417,40.68379287
59151173532,3571,40.75256531,45.43473,40.75256531
59123338942,3564,44.72183781,40.89195667,40.77505505
59123338942,3564,36.82827229,40.89195667,40.77505505
58934174400,3453,40.81015204,38.32097417,40.81015204
56175180073,3544,42.12773728,44.815645,40.87479403
56175180073,3544,40.95428142,44.815645,40.87479403
56175180073,3544,39.54236339,44.815645,40.87479403
