,OPID,WoPC,current_no2_x,Average_NO2,current_no2_y
0,56144379341,1062,32.33707664730506,36.50650768794424,35.527505761932595
1,56144379341,1062,43.4494955006088,36.50650768794424,35.527505761932595
2,56144379341,1062,30.795945137883937,36.50650768794424,35.527505761932595
3,58965174307,1062,39.15446040936979,36.50650768794424,39.15446040936979
4,58999626033,1062,21.249328137090924,36.50650768794424,21.249328137090924
5,58999636139,1062,28.661480453868624,36.50650768794424,34.96223380799742
6,58999636139,1062,25.90485131656001,36.50650768794424,34.96223380799742
7,58999636139,1062,52.52256381366309,36.50650768794424,34.96223380799742
8,58999636139,1062,32.760039647897955,36.50650768794424,34.96223380799742
9,59244214111,1062,32.96039148342701,36.50650768794424,32.96039148342701
10,56175196131,1098,27.97157189552765,31.851287606456324,28.69279373451225
11,56175196131,1098,29.41401557349685,31.851287606456324,28.69279373451225
12,58934191574,1098,32.57939953812179,31.851287606456324,30.282475907216302
13,58934191574,1098,27.985552276310813,31.851287606456324,30.282475907216302
14,59027191698,1098,37.68812230436263,31.851287606456324,37.68812230436263
15,56175197030,1064,21.886452221317647,24.724360556830586,20.787706446188146
16,56175197030,1064,19.68896067105865,24.724360556830586,20.787706446188146
17,58965177624,1064,38.24353120283929,24.724360556830586,33.50779141941186
18,58965177624,1064,28.77205163598443,24.724360556830586,33.50779141941186
19,59120186800,1064,30.294574622966543,24.724360556830586,34.69566372639751
20,59120186800,1064,39.09675282982848,24.724360556830586,34.69566372639751
21,56175197154,1066,31.722033748552445,27.240886706017587,28.922823812131288
22,56175197154,1066,26.12361387571013,27.240886706017587,28.922823812131288
23,58934190644,1066,37.78743761785199,27.240886706017587,33.444810436219235
24,58934190644,1066,29.102183254586475,27.240886706017587,33.444810436219235
25,58965177748,1066,25.477596131594275,27.240886706017587,25.477596131594275
26,58999647330,1066,30.11819139649414,27.240886706017587,30.231291181068073
27,58999647330,1066,30.344390965642003,27.240886706017587,30.231291181068073
28,59058187141,1066,33.85846838479593,27.240886706017587,33.85846838479593
29,59058194209,1066,30.322718920624524,27.240886706017587,30.322718920624524
30,59089178926,1066,35.54166647516874,27.240886706017587,35.54166647516874
31,59185622716,1066,37.4556536261272,27.240886706017587,29.34175081410555
32,59185622716,1066,39.00811117517495,27.240886706017587,29.34175081410555
33,59185622716,1066,18.32630371615459,27.240886706017587,29.34175081410555
