,OPID,WoPC,current_no2_x,rivm_nsl_2,current_no2_y
0,56175178833,3552,21.72802109701305,21.52997,21.72802109701305
1,56175178833,3552,21.72802109701305,21.52997,21.72802109701305
2,56175178833,3552,21.72802109701305,21.52997,21.72802109701305
3,56175178833,3552,21.72802109701305,21.52997,21.72802109701305
4,58937330820,3552,24.6550941882059,21.52997,24.6550941882059
5,58937330820,3552,24.6550941882059,21.52997,24.6550941882059
6,58937330820,3552,24.6550941882059,21.52997,24.6550941882059
7,58937330820,3552,24.6550941882059,21.52997,24.6550941882059
8,58937330820,3552,24.6550941882059,21.52997,24.6550941882059
9,58937330820,3552,24.6550941882059,21.52997,24.6550941882059
10,58937330820,3552,24.6550941882059,21.52997,24.6550941882059
11,58937330820,3552,24.6550941882059,21.52997,24.6550941882059
12,58937330820,3552,24.6550941882059,21.52997,24.6550941882059
13,59120171486,3552,24.6550941882059,21.52997,22.637345393760484
14,59120171486,3552,24.6550941882059,21.52997,22.637345393760484
15,59120171486,3552,24.6550941882059,21.52997,22.637345393760484
16,59120171486,3552,24.6550941882059,21.52997,22.637345393760484
17,59120171486,3552,23.0189891882059,21.52997,22.637345393760484
18,59120171486,3552,23.0189891882059,21.52997,22.637345393760484
19,59120171486,3552,23.0189891882059,21.52997,22.637345393760484
20,59120171486,3552,23.0189891882059,21.52997,22.637345393760484
21,59120171486,3552,20.998239099315068,21.52997,22.637345393760484
22,59120171486,3552,20.998239099315068,21.52997,22.637345393760484
23,59120171486,3552,20.998239099315068,21.52997,22.637345393760484
24,59120171486,3552,20.998239099315068,21.52997,22.637345393760484
25,59120171486,3552,21.87705909931507,21.52997,22.637345393760484
26,59120171486,3552,21.87705909931507,21.52997,22.637345393760484
27,59120171486,3552,21.87705909931507,21.52997,22.637345393760484
28,59120171486,3552,21.87705909931507,21.52997,22.637345393760484
29,59247393719,3552,26.902462705335623,21.52997,24.41865725444635
30,59247393719,3552,26.902462705335623,21.52997,24.41865725444635
31,59247393719,3552,26.902462705335623,21.52997,24.41865725444635
32,59247393719,3552,26.902462705335623,21.52997,24.41865725444635
33,59247393719,3552,21.93485180355708,21.52997,24.41865725444635
34,59247393719,3552,21.93485180355708,21.52997,24.41865725444635
35,59247393719,3552,21.93485180355708,21.52997,24.41865725444635
36,59247393719,3552,21.93485180355708,21.52997,24.41865725444635
37,56175180879,3521,25.1740948144305,26.80583,25.675007314430502
38,56175180879,3521,25.1740948144305,26.80583,25.675007314430502
39,56175180879,3521,25.1740948144305,26.80583,25.675007314430502
40,56175180879,3521,26.1759198144305,26.80583,25.675007314430502
41,56175180879,3521,26.1759198144305,26.80583,25.675007314430502
42,56175180879,3521,26.1759198144305,26.80583,25.675007314430502
43,59061339965,3521,24.808139325073267,26.80583,25.598659318792023
44,59061339965,3521,24.808139325073267,26.80583,25.598659318792023
45,59061339965,3521,24.808139325073267,26.80583,25.598659318792023
46,59061339965,3521,26.389179312510777,26.80583,25.598659318792023
47,59061339965,3521,26.389179312510777,26.80583,25.598659318792023
48,59061339965,3521,26.389179312510777,26.80583,25.598659318792023
49,59275194984,3521,24.959734569081952,26.80583,25.828138735748617
50,59275194984,3521,24.959734569081952,26.80583,25.828138735748617
51,59275194984,3521,26.69654290241528,26.80583,25.828138735748617
52,59275194984,3521,26.69654290241528,26.80583,25.828138735748617
53,56175181282,3523,24.905156709972804,23.20913,24.07120854330614
54,56175181282,3523,24.905156709972804,23.20913,24.07120854330614
55,56175181282,3523,24.905156709972804,23.20913,24.07120854330614
56,56175181282,3523,24.905156709972804,23.20913,24.07120854330614
57,56175181282,3523,24.905156709972804,23.20913,24.07120854330614
58,56175181282,3523,23.237260376639473,23.20913,24.07120854330614
59,56175181282,3523,23.237260376639473,23.20913,24.07120854330614
60,56175181282,3523,23.237260376639473,23.20913,24.07120854330614
61,56175181282,3523,23.237260376639473,23.20913,24.07120854330614
62,56175181282,3523,23.237260376639473,23.20913,24.07120854330614
63,58968317273,3523,24.153248853151673,23.20913,23.954117603151673
64,58968317273,3523,24.153248853151673,23.20913,23.954117603151673
65,58968317273,3523,23.754986353151676,23.20913,23.954117603151673
66,58968317273,3523,23.754986353151676,23.20913,23.954117603151673
67,59089170060,3523,23.366966047562624,23.20913,23.366966047562624
68,59089170060,3523,23.366966047562624,23.20913,23.366966047562624
69,59089170060,3523,23.366966047562624,23.20913,23.366966047562624
70,59089170060,3523,23.366966047562624,23.20913,23.366966047562624
71,59120172602,3523,23.02373194910685,23.20913,23.334780423660277
72,59120172602,3523,23.02373194910685,23.20913,23.334780423660277
73,59120172602,3523,23.02373194910685,23.20913,23.334780423660277
74,59120172602,3523,23.6458288982137,23.20913,23.334780423660277
75,59120172602,3523,23.6458288982137,23.20913,23.334780423660277
76,59120172602,3523,23.6458288982137,23.20913,23.334780423660277
77,56178354287,3514,22.208745355670693,22.04169,22.76366696492124
78,56178354287,3514,22.208745355670693,22.04169,22.76366696492124
79,56178354287,3514,22.208745355670693,22.04169,22.76366696492124
80,56178354287,3514,22.208745355670693,22.04169,22.76366696492124
81,56178354287,3514,22.208745355670693,22.04169,22.76366696492124
82,56178354287,3514,22.208745355670693,22.04169,22.76366696492124
83,56178354287,3514,23.889200269546507,22.04169,22.76366696492124
84,56178354287,3514,23.889200269546507,22.04169,22.76366696492124
85,56178354287,3514,23.889200269546507,22.04169,22.76366696492124
86,56178354287,3514,23.889200269546507,22.04169,22.76366696492124
87,56178354287,3514,23.889200269546507,22.04169,22.76366696492124
88,56178354287,3514,23.889200269546507,22.04169,22.76366696492124
