,OPID,WoPC,current_no2_x,Average_NO2,current_no2_y
0,56175178833,3552,42.352917594999994,47.743658333333336,42.352917594999994
1,58937330820,3552,53.11275535,47.743658333333336,53.11275535
2,59120171486,3552,51.853504705,47.743658333333336,46.52554561375
3,59120171486,3552,43.52211013,47.743658333333336,46.52554561375
4,59120171486,3552,43.007326973333335,47.743658333333336,46.52554561375
5,59120171486,3552,47.71924064666667,47.743658333333336,46.52554561375
6,59247393719,3552,57.506494335,47.743658333333336,57.506494335
7,56175180879,3521,44.102318305,55.029855,49.651765312500004
8,56175180879,3521,55.20121232,55.029855,49.651765312500004
9,59061339965,3521,45.672102095,55.029855,52.042002294999996
10,59061339965,3521,58.41190249499999,55.029855,52.042002294999996
11,59275194984,3521,42.83877106833333,55.029855,45.774633568333336
12,59275194984,3521,48.71049606833334,55.029855,45.774633568333336
13,56175181282,3523,39.942571369333336,48.080864166666665,40.911514536
14,56175181282,3523,41.88045770266667,48.080864166666665,40.911514536
15,58968317273,3523,42.60313005,48.080864166666665,46.8775796175
16,58968317273,3523,51.152029184999996,48.080864166666665,46.8775796175
17,59120172602,3523,37.6908375,48.080864166666665,37.6908375
18,56178354287,3514,45.188608484999996,47.57139333333333,46.49131840916667
19,56178354287,3514,47.79402833333333,47.57139333333333,46.49131840916667
20,58999341329,3514,53.79760485,47.57139333333333,53.33396360375
21,58999341329,3514,52.8703223575,47.57139333333333,53.33396360375
22,59027167208,3514,49.161980866666674,47.57139333333333,47.38568384
23,59027167208,3514,42.60992768333334,47.57139333333333,47.38568384
24,59027167208,3514,45.00001523833333,47.57139333333333,47.38568384
25,59027167208,3514,52.77081157166667,47.57139333333333,47.38568384
26,59027171269,3514,53.4719235625,47.57139333333333,52.6590773125
27,59027171269,3514,51.846231062499996,47.57139333333333,52.6590773125
28,59092323752,3514,43.466058333333336,47.57139333333333,43.466058333333336
29,59120173067,3514,51.97977988666667,47.57139333333333,51.949355125
30,59120173067,3514,51.91893036333333,47.57139333333333,51.949355125
31,56178356891,3522,45.019404655,47.2258175,48.0508095975
32,56178356891,3522,51.082214539999995,47.2258175,48.0508095975
33,58965161225,3522,59.45583388666666,47.2258175,53.50896136694444
34,58965161225,3522,51.53067969583333,47.2258175,53.50896136694444
35,58965161225,3522,49.54037051833333,47.2258175,53.50896136694444
36,58996171579,3522,47.619334295833326,47.2258175,44.010008380277775
37,58996171579,3522,42.502100659999996,47.2258175,44.010008380277775
38,58996171579,3522,41.908590185,47.2258175,44.010008380277775
39,59151170308,3522,46.62892455833334,47.2258175,43.99715319083334
40,59151170308,3522,41.36538182333334,47.2258175,43.99715319083334
41,59244194922,3522,48.73995236466667,47.2258175,45.446030384166676
42,59244194922,3522,42.152108403666674,47.2258175,45.446030384166676
43,58934169502,3572,46.925046,45.92000249999999,46.925046
44,58968324372,3572,53.752635678333334,45.92000249999999,53.752635678333334
45,58996171362,3572,50.850403110833334,45.92000249999999,47.66906238875
46,58996171362,3572,44.487721666666665,45.92000249999999,47.66906238875
47,59182170649,3572,40.1084936675,45.92000249999999,40.1084936675
48,58934172819,3531,47.20859815,48.0142775,47.6208523625
49,58934172819,3531,48.033106575,48.0142775,47.6208523625
50,59247389441,3531,46.02649659,48.0142775,44.821023135000004
51,59247389441,3531,43.61554968,48.0142775,44.821023135000004
52,58934172881,3512,43.999058375000004,49.65118416666667,43.97006752
53,58934172881,3512,43.941076665,49.65118416666667,43.97006752
54,58937330417,3512,54.03460730916666,49.65118416666667,48.41354941583334
55,58937330417,3512,43.962902495,49.65118416666667,48.41354941583334
56,58937330417,3512,43.87326166166667,49.65118416666667,48.41354941583334
57,58937330417,3512,51.783426197500006,49.65118416666667,48.41354941583334
58,59089169967,3512,43.516842784999994,49.65118416666667,45.80005765833334
59,59089169967,3512,45.724995505,49.65118416666667,45.80005765833334
60,59089169967,3512,48.158334685,49.65118416666667,45.80005765833334
61,59092325302,3512,52.3303463525,49.65118416666667,49.2982193975
62,59092325302,3512,46.266092442499996,49.65118416666667,49.2982193975
63,59123343065,3512,54.73828138583333,49.65118416666667,54.70716435041666
64,59123343065,3512,54.676047315,49.65118416666667,54.70716435041666
65,59185335377,3512,50.42062766666667,49.65118416666667,50.42062766666667
66,59216352148,3512,44.70049470033333,49.65118416666667,44.70049470033333
67,59275195046,3512,43.466058333333336,49.65118416666667,43.466058333333336
68,58965163333,3515,50.453926079,47.45067,50.384891579
69,58965163333,3515,50.315857079000004,47.45067,50.384891579
70,59151173687,3515,51.6645673025,47.45067,51.6645673025
71,58996167177,3582,45.411892625,47.643700833333334,45.411892625
72,58996172168,3582,51.88984791666667,47.643700833333334,51.88984791666667
73,59092326511,3582,43.73414743166666,47.643700833333334,43.04589743166667
74,59092326511,3582,42.35764743166667,47.643700833333334,43.04589743166667
75,58996168789,3583,44.068055259999994,44.54628666666667,42.23990679666666
76,58996168789,3583,40.41175833333333,44.54628666666667,42.23990679666666
77,59247390557,3583,40.07330142666667,44.54628666666667,42.8729534355
78,59247390557,3583,38.938154775,44.54628666666667,42.8729534355
79,59247390557,3583,41.53719646,44.54628666666667,42.8729534355
80,59247390557,3583,39.943593424999996,44.54628666666667,42.8729534355
81,59247390557,3583,53.87252109083334,44.54628666666667,42.8729534355
82,58996169409,3532,51.40148544916667,47.532252500000006,49.785417546666665
83,58996169409,3532,48.16934964416666,47.532252500000006,49.785417546666665
84,59216350939,3532,53.4841728025,47.532252500000006,53.4841728025
85,58999335253,3581,45.902707505,45.78175166666667,49.0486696075
