;OP;OPID;Steekproef;Mode;HHPers;HHSam;HHPlOP;HHLft1;HHLft2;HHLft3;HHLft4;WoPC;WoGem;Sted;GemGr;Prov;Corop;BuurtAdam;MRA;MRDH;Geslacht;Leeftijd;KLeeft;Herkomst;BetWerk;OnbBez;MaatsPart;Opleiding;HHBestInkG;HHGestInkG;HHLaagInk;HHSocInk;HHWelvG;HHRijbewijsAu;HHRijbewijsMo;HHRijbewijsBr;OPRijbewijsAu;OPRijbewijsMo;OPRijbewijsBr;HHAuto;HHAutoL;OPAuto;BrandstofPa1;XBrandstofPa1;BrandstofEPa1;BouwjaarPa1;KBouwjaarPa1;KGewichtPa1;TenaamPa1;BrandstofPa2;XBrandstofPa2;BrandstofEPa2;BouwjaarPa2;KBouwjaarPa2;KGewichtPa2;TenaamPa2;BrandstofPaL;XBrandstofPaL;BrandstofEPaL;BouwjaarPaL;KBouwjaarPaL;KGewichtPaL;HHMotor;OPMotor;HHBrom;OPBrom;HHSnor;OPSnor;HHEFiets;HHBezitVm;OPBezitVm;FqNEFiets;FqEFiets;FqBTM;FqTrein;FqAutoB;FqAutoP;FqBrSnor;OVStKaart;Jaar;Maand;Week;Dag;Weekdag;Feestdag;Weggeweest;RedenNW;RedenNWZ;RedenNWW;RedenNWB;AantVpl;AantOVVpl;AantSVpl;EFiets;AutoEig;AutoHhL;AutoLWg;AutoLPl;AutoBed;AutoDOrg;AutoDPart;AutoDBek;AutoLeen;AutoHuur;AutoAnd;ByzDag;ByzAdr;ByzVvm;ByzTyd;ByzDuur;ByzRoute;ByzReden;ReisduurOP;AfstandOP;AfstandSOP;Verpl;VerplID;VerplNr;Toer;AantRit;Doel;MotiefV;KMotiefV;MeerWink;AardWerk;VertLoc;VertGeb;VertPC;VertPCBL;VertGem;VertProv;VertCorop;VertMRA;VertMRDH;AankGeb;AankPC;AankPCBL;AankGem;AankProv;AankCorop;AankMRA;AankMRDH;PCG;GemG;PCBLG;AfstV;KAfstV;Hvm;HvmRol;KHvm;VertUur;VertMin;KVertTijd;AankUur;AankMin;Reisduur;KReisduur;ActDuur;Kind6;VolgWerk;SAantAdr;SDezPlts;SPlaats1;SPlaats2;SPlaats3;SPlaats4;SPlaats5;AfstS;AfstSBL;SVvm1;SVvm2;SVvm3;SVvm4;SBegUur;SBegMin;SEindUur;SEindMin;CorrVerpl;GehBLVer;Rit;RitID;RitNr;AfstR;AfstRBL;KAfstR;Rvm;RvmRol;RAantIn;KRvm;RVertUur;RVertMin;RAankUur;RAankMin;RReisduur;RReisduurBL;RVertStat;RAankStat;RTSamen;RCorrSnelh;RVliegVer;FactorH;FactorP;FactorV
175652;1;59278386093;1;1;2;2;3;0;0;0;2;3512;344;1;8;7;17;0;18;18;1;87;18;1;0;2;7;2;3;2;8;4;2;0;0;0;0;0;0;0;0;0;7;7;6;9995;9;7;3;7;7;6;9995;9;7;3;7;7;6;9995;9;7;0;0;0;0;0;0;0;0;0;5;5;4;5;5;1;5;4;2019;12;51;21;7;0;1;0;0;0;0;2;0;0;5;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;1;5;40;70;0;1;5927838609301;1;0;1;9;8;6;3;12;1;0;3512.0;1.0;344;7;17;18;18;0;3526.0;1.0;344;7;17;18;18;0.0;0;0.0;35;4;1;2;2;14;0;8;14;20;20;5;280;0;9;#NULL!;#NULL!;;;;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;0;0;1;592783860930101;1;35;0;4;1;2;2;2;14;0;14;20;20;0;0.0;0.0;13;0;0;143;286;104448
175653;0;59278386093;1;1;2;2;3;0;0;0;2;3512;344;1;8;7;17;0;18;18;1;87;18;1;0;2;7;2;3;2;8;4;2;0;0;0;0;0;0;0;0;0;7;7;6;9995;9;7;3;7;7;6;9995;9;7;3;7;7;6;9995;9;7;0;0;0;0;0;0;0;0;0;5;5;4;5;5;1;5;4;2019;12;51;21;7;0;1;0;0;0;0;2;0;0;5;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;1;5;40;70;0;1;5927838609302;2;0;1;1;8;6;3;12;4;0;3526.0;1.0;344;7;17;18;18;0;3512.0;1.0;344;7;17;18;18;0.0;0;0.0;35;4;1;2;2;19;0;12;19;20;20;5;#NULL!;0;9;#NULL!;#NULL!;;;;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;0;0;1;592783860930201;1;35;0;4;1;2;2;2;19;0;19;20;20;0;0.0;0.0;13;0;0;143;286;104448
175657;0;59278386992;1;1;3;3;3;1;0;0;2;3551;344;1;8;7;17;0;18;18;2;32;8;3;0;1;3;3;11;11;9;10;11;1;0;1;0;0;0;0;0;0;7;7;6;9995;9;7;3;7;7;6;9995;9;7;3;7;7;6;9995;9;7;0;0;0;0;0;0;0;0;0;2;5;3;5;5;5;5;0;2019;12;53;31;3;0;1;0;0;0;0;3;3;0;5;4;4;4;4;4;4;4;4;4;4;4;1;1;2;2;2;2;9;170;865;0;1;5927838699202;2;0;3;1;11;7;3;12;4;0;1102.0;1.0;363;8;23;7;18;0;3551.0;1.0;344;7;17;18;18;0.0;0;0.0;284;10;2;4;3;12;30;6;13;35;65;9;75;1;9;#NULL!;#NULL!;;;;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;0;0;1;592783869920201;1;5;0;2;9;4;11;6;12;30;12;40;10;0;0.0;0.0;13;0;0;216;432;157732
175658;0;59278386992;1;1;3;3;3;1;0;0;2;3551;344;1;8;7;17;0;18;18;2;32;8;3;0;1;3;3;11;11;9;10;11;1;0;1;0;0;0;0;0;0;7;7;6;9995;9;7;3;7;7;6;9995;9;7;3;7;7;6;9995;9;7;0;0;0;0;0;0;0;0;0;2;5;3;5;5;5;5;0;2019;12;53;31;3;0;1;0;0;0;0;3;3;0;5;4;4;4;4;4;4;4;4;4;4;4;1;1;2;2;2;2;9;170;865;0;0;5927838699202;2;0;3;1;11;7;3;12;4;0;1102.0;1.0;363;8;23;7;18;0;3551.0;1.0;344;7;17;18;18;0.0;0;0.0;284;10;2;4;3;12;30;6;13;35;65;9;75;1;9;#NULL!;#NULL!;;;;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;0;0;1;592783869920202;2;274;0;10;2;4;11;3;12;55;13;30;35;0;243.0;638.0;4;0;0;216;432;157732
175659;0;59278386992;1;1;3;3;3;1;0;0;2;3551;344;1;8;7;17;0;18;18;2;32;8;3;0;1;3;3;11;11;9;10;11;1;0;1;0;0;0;0;0;0;7;7;6;9995;9;7;3;7;7;6;9995;9;7;3;7;7;6;9995;9;7;0;0;0;0;0;0;0;0;0;2;5;3;5;5;5;5;0;2019;12;53;31;3;0;1;0;0;0;0;3;3;0;5;4;4;4;4;4;4;4;4;4;4;4;1;1;2;2;2;2;9;170;865;0;0;5927838699202;2;0;3;1;11;7;3;12;4;0;1102.0;1.0;363;8;23;7;18;0;3551.0;1.0;344;7;17;18;18;0.0;0;0.0;284;10;2;4;3;12;30;6;13;35;65;9;75;1;9;#NULL!;#NULL!;;;;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;0;0;1;592783869920203;3;5;0;2;9;4;11;6;13;30;13;35;5;0;0.0;0.0;13;0;0;216;432;157732
175660;0;59278386992;1;1;3;3;3;1;0;0;2;3551;344;1;8;7;17;0;18;18;2;32;8;3;0;1;3;3;11;11;9;10;11;1;0;1;0;0;0;0;0;0;7;7;6;9995;9;7;3;7;7;6;9995;9;7;3;7;7;6;9995;9;7;0;0;0;0;0;0;0;0;0;2;5;3;5;5;5;5;0;2019;12;53;31;3;0;1;0;0;0;0;3;3;0;5;4;4;4;4;4;4;4;4;4;4;4;1;1;2;2;2;2;9;170;865;0;1;5927838699203;3;0;4;9;8;6;3;12;1;0;3551.0;1.0;344;7;17;18;18;0;3947.0;1.0;352;7;17;18;18;0.0;0;0.0;296;10;3;4;4;14;50;8;15;55;65;9;#NULL!;1;9;#NULL!;#NULL!;;;;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;0;0;1;592783869920301;1;5;0;2;9;4;11;6;14;50;14;55;5;0;0.0;0.0;13;0;0;216;432;157732
175661;0;59278386992;1;1;3;3;3;1;0;0;2;3551;344;1;8;7;17;0;18;18;2;32;8;3;0;1;3;3;11;11;9;10;11;1;0;1;0;0;0;0;0;0;7;7;6;9995;9;7;3;7;7;6;9995;9;7;3;7;7;6;9995;9;7;0;0;0;0;0;0;0;0;0;2;5;3;5;5;5;5;0;2019;12;53;31;3;0;1;0;0;0;0;3;3;0;5;4;4;4;4;4;4;4;4;4;4;4;1;1;2;2;2;2;9;170;865;0;0;5927838699203;3;0;4;9;8;6;3;12;1;0;3551.0;1.0;344;7;17;18;18;0;3947.0;1.0;352;7;17;18;18;0.0;0;0.0;296;10;3;4;4;14;50;8;15;55;65;9;#NULL!;1;9;#NULL!;#NULL!;;;;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;0;0;1;592783869920302;2;136;0;8;2;4;11;3;14;55;15;20;25;0;638.0;200.0;4;0;0;216;432;157732
175662;0;59278386992;1;1;3;3;3;1;0;0;2;3551;344;1;8;7;17;0;18;18;2;32;8;3;0;1;3;3;11;11;9;10;11;1;0;1;0;0;0;0;0;0;7;7;6;9995;9;7;3;7;7;6;9995;9;7;3;7;7;6;9995;9;7;0;0;0;0;0;0;0;0;0;2;5;3;5;5;5;5;0;2019;12;53;31;3;0;1;0;0;0;0;3;3;0;5;4;4;4;4;4;4;4;4;4;4;4;1;1;2;2;2;2;9;170;865;0;0;5927838699203;3;0;4;9;8;6;3;12;1;0;3551.0;1.0;344;7;17;18;18;0;3947.0;1.0;352;7;17;18;18;0.0;0;0.0;296;10;3;4;4;14;50;8;15;55;65;9;#NULL!;1;9;#NULL!;#NULL!;;;;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;0;0;1;592783869920303;3;150;0;9;3;4;11;4;15;22;15;50;28;0;0.0;0.0;13;0;0;216;432;157732
175663;0;59278386992;1;1;3;3;3;1;0;0;2;3551;344;1;8;7;17;0;18;18;2;32;8;3;0;1;3;3;11;11;9;10;11;1;0;1;0;0;0;0;0;0;7;7;6;9995;9;7;3;7;7;6;9995;9;7;3;7;7;6;9995;9;7;0;0;0;0;0;0;0;0;0;2;5;3;5;5;5;5;0;2019;12;53;31;3;0;1;0;0;0;0;3;3;0;5;4;4;4;4;4;4;4;4;4;4;4;1;1;2;2;2;2;9;170;865;0;0;5927838699203;3;0;4;9;8;6;3;12;1;0;3551.0;1.0;344;7;17;18;18;0;3947.0;1.0;352;7;17;18;18;0.0;0;0.0;296;10;3;4;4;14;50;8;15;55;65;9;#NULL!;1;9;#NULL!;#NULL!;;;;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;0;0;1;592783869920304;4;5;0;2;9;4;11;6;15;50;15;55;5;0;0.0;0.0;13;0;0;216;432;157732
175665;1;59278387581;1;1;5;3;4;0;1;1;3;3533;344;1;8;7;17;0;18;18;2;15;4;3;0;3;4;0;4;1;7;8;1;2;0;2;0;0;0;2;0;0;2;0;0;2007;1;4;2;1;0;0;2001;1;2;2;7;7;6;9995;9;7;0;0;0;0;0;0;0;2;0;1;5;4;5;6;3;5;0;2019;12;48;1;1;0;1;0;0;0;0;2;0;0;5;4;4;4;4;4;4;4;4;4;4;4;2;3;3;3;3;3;11;35;62;0;1;5927838758101;1;0;1;8;7;4;1;12;1;0;3533.0;1.0;344;7;17;18;18;0;3511.0;1.0;344;7;17;18;18;0.0;0;0.0;32;4;8;4;5;16;0;9;16;20;20;5;55;0;9;#NULL!;#NULL!;;;;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;0;0;1;592783875810101;1;32;0;4;8;4;11;5;16;0;16;20;20;0;0.0;0.0;13;0;0;13;65;23714
