;OP;OPID;Steekproef;Mode;HHPers;HHSam;HHPlOP;HHLft1;HHLft2;HHLft3;HHLft4;WoPC;WoGem;Sted;GemGr;Prov;Corop;BuurtAdam;MRA;MRDH;Geslacht;Leeftijd;KLeeft;Herkomst;BetWerk;OnbBez;MaatsPart;Opleiding;HHBestInkG;HHGestInkG;HHLaagInk;HHSocInk;HHWelvG;HHRijbewijsAu;HHRijbewijsMo;HHRijbewijsBr;OPRijbewijsAu;OPRijbewijsMo;OPRijbewijsBr;HHAuto;HHAutoL;OPAuto;BrandstofPa1;XBrandstofPa1;BrandstofEPa1;BouwjaarPa1;KBouwjaarPa1;KGewichtPa1;TenaamPa1;BrandstofPa2;XBrandstofPa2;BrandstofEPa2;BouwjaarPa2;KBouwjaarPa2;KGewichtPa2;TenaamPa2;BrandstofPaL;XBrandstofPaL;BrandstofEPaL;BouwjaarPaL;KBouwjaarPaL;KGewichtPaL;HHMotor;OPMotor;HHBrom;OPBrom;HHSnor;OPSnor;HHEFiets;HHBezitVm;OPBezitVm;FqNEFiets;FqEFiets;FqBTM;FqTrein;FqAutoB;FqAutoP;FqBrSnor;OVStKaart;Jaar;Maand;Week;Dag;Weekdag;Feestdag;Weggeweest;RedenNW;RedenNWZ;RedenNWW;RedenNWB;AantVpl;AantOVVpl;AantSVpl;EFiets;AutoEig;AutoHhL;AutoLWg;AutoLPl;AutoBed;AutoDOrg;AutoDPart;AutoDBek;AutoLeen;AutoHuur;AutoAnd;ByzDag;ByzAdr;ByzVvm;ByzTyd;ByzDuur;ByzRoute;ByzReden;ReisduurOP;AfstandOP;AfstandSOP;Verpl;VerplID;VerplNr;Toer;AantRit;Doel;MotiefV;KMotiefV;MeerWink;AardWerk;VertLoc;VertGeb;VertPC;VertPCBL;VertGem;VertProv;VertCorop;VertMRA;VertMRDH;AankGeb;AankPC;AankPCBL;AankGem;AankProv;AankCorop;AankMRA;AankMRDH;PCG;GemG;PCBLG;AfstV;KAfstV;Hvm;HvmRol;KHvm;VertUur;VertMin;KVertTijd;AankUur;AankMin;Reisduur;KReisduur;ActDuur;Kind6;VolgWerk;SAantAdr;SDezPlts;SPlaats1;SPlaats2;SPlaats3;SPlaats4;SPlaats5;AfstS;AfstSBL;SVvm1;SVvm2;SVvm3;SVvm4;SBegUur;SBegMin;SEindUur;SEindMin;CorrVerpl;GehBLVer;Rit;RitID;RitNr;AfstR;AfstRBL;KAfstR;Rvm;RvmRol;RAantIn;KRvm;RVertUur;RVertMin;RAankUur;RAankMin;RReisduur;RReisduurBL;RVertStat;RAankStat;RTSamen;RCorrSnelh;RVliegVer;FactorH;FactorP;FactorV
108279;0;59151189590;1;1;1;1;1;0;0;0;1;1018;363;1;8;8;23;36309;1;18;2;34;8;1;3;0;2;4;4;6;8;9;5;1;0;1;1;0;1;0;0;0;7;7;6;9995;9;7;3;7;7;6;9995;9;7;3;7;7;6;9995;9;7;0;0;0;0;0;0;0;0;0;1;4;4;1;4;3;5;0;2019;9;38;22;1;0;1;0;0;0;0;2;1;0;5;2;1;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;11;510;800;0;0;5915118959002;2;1;5;10;9;8;3;12;1;0;1018.0;1.0;363;8;23;1;18;0;1018.0;1.0;363;8;23;1;18;0.0;0;0.0;773;14;2;4;3;12;15;6;20;30;495;11;#NULL!;0;9;#NULL!;#NULL!;;;;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;0;0;1;591511895900204;4;30;0;4;3;4;11;4;19;33;19;45;12;0;0.0;0.0;13;0;0;547;547;199553
108280;0;59151189590;1;1;1;1;1;0;0;0;1;1018;363;1;8;8;23;36309;1;18;2;34;8;1;3;0;2;4;4;6;8;9;5;1;0;1;1;0;1;0;0;0;7;7;6;9995;9;7;3;7;7;6;9995;9;7;3;7;7;6;9995;9;7;0;0;0;0;0;0;0;0;0;1;4;4;1;4;3;5;0;2019;9;38;22;1;0;1;0;0;0;0;2;1;0;5;2;1;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;11;510;800;0;0;5915118959002;2;1;5;10;9;8;3;12;1;0;1018.0;1.0;363;8;23;1;18;0;1018.0;1.0;363;8;23;1;18;0.0;0;0.0;773;14;2;4;3;12;15;6;20;30;495;11;#NULL!;0;9;#NULL!;#NULL!;;;;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;0;0;1;591511895900205;5;7;0;2;8;4;11;5;20;25;20;30;5;0;0.0;0.0;13;0;0;547;547;199553
108281;1;59151189900;1;1;1;1;1;0;0;0;1;1015;363;1;8;8;23;36302;1;18;2;25;7;1;3;0;2;4;1;1;9;10;1;1;0;1;1;0;1;0;0;0;7;7;6;9995;9;7;3;7;7;6;9995;9;7;3;7;7;6;9995;9;7;0;0;0;0;0;0;0;0;0;3;5;2;3;5;4;5;0;2019;9;36;5;5;0;1;0;0;0;0;2;0;0;5;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;11;14;32;0;1;5915118990001;1;0;1;2;1;1;3;12;1;0;1015.0;1.0;363;8;23;1;18;0;1012.0;1.0;363;8;23;1;18;0.0;0;0.0;16;3;8;4;5;16;0;9;16;7;7;2;353;0;1;#NULL!;#NULL!;;;;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;0;0;1;591511899000101;1;16;0;3;8;4;11;5;16;0;16;7;7;0;0.0;0.0;13;4;0;295;295;107800
108283;1;59151189993;1;1;1;1;1;0;0;0;1;1056;363;1;8;8;23;36338;3;18;2;33;8;2;3;0;2;4;8;10;8;9;9;0;0;0;0;0;0;2;1;1;1;0;0;2015;4;3;1;7;7;6;9995;9;7;3;1;0;0;2015;4;3;0;0;0;0;0;0;0;2;3;1;5;3;4;1;4;5;0;2019;8;33;16;6;0;1;0;0;0;0;7;0;0;5;4;4;4;4;4;4;4;4;4;4;4;2;3;3;3;3;3;11;60;80;0;1;5915118999301;1;0;1;11;10;7;3;12;1;0;1056.0;1.0;363;8;23;3;18;0;1056.0;1.0;363;8;23;3;18;0.0;0;0.0;10;3;8;4;5;10;0;5;10;5;5;2;60;0;9;#NULL!;#NULL!;;;;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;0;0;1;591511899930101;1;10;0;3;8;4;11;5;10;0;10;5;5;0;0.0;0.0;13;0;0;414;414;151163
108284;0;59151189993;1;1;1;1;1;0;0;0;1;1056;363;1;8;8;23;36338;3;18;2;33;8;2;3;0;2;4;8;10;8;9;9;0;0;0;0;0;0;2;1;1;1;0;0;2015;4;3;1;7;7;6;9995;9;7;3;1;0;0;2015;4;3;0;0;0;0;0;0;0;2;3;1;5;3;4;1;4;5;0;2019;8;33;16;6;0;1;0;0;0;0;7;0;0;5;4;4;4;4;4;4;4;4;4;4;4;2;3;3;3;3;3;11;60;80;0;1;5915118999302;2;0;1;1;10;7;3;12;4;0;1056.0;1.0;363;8;23;3;18;0;1056.0;1.0;363;8;23;3;18;0.0;0;0.0;10;3;8;4;5;11;5;5;11;10;5;2;110;0;9;#NULL!;#NULL!;;;;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;0;0;1;591511899930201;1;10;0;3;8;4;11;5;11;5;11;10;5;0;0.0;0.0;13;0;0;414;414;151163
108285;0;59151189993;1;1;1;1;1;0;0;0;1;1056;363;1;8;8;23;36338;3;18;2;33;8;2;3;0;2;4;8;10;8;9;9;0;0;0;0;0;0;2;1;1;1;0;0;2015;4;3;1;7;7;6;9995;9;7;3;1;0;0;2015;4;3;0;0;0;0;0;0;0;2;3;1;5;3;4;1;4;5;0;2019;8;33;16;6;0;1;0;0;0;0;7;0;0;5;4;4;4;4;4;4;4;4;4;4;4;2;3;3;3;3;3;11;60;80;0;1;5915118999303;3;0;1;8;7;4;1;12;1;0;1056.0;1.0;363;8;23;3;18;0;1055.0;1.0;363;8;23;3;18;0.0;0;0.0;8;2;9;4;6;13;0;7;13;10;10;3;50;0;9;#NULL!;#NULL!;;;;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;0;0;1;591511899930301;1;8;0;2;9;4;11;6;13;0;13;10;10;0;0.0;0.0;13;0;0;414;414;151163
108286;0;59151189993;1;1;1;1;1;0;0;0;1;1056;363;1;8;8;23;36338;3;18;2;33;8;2;3;0;2;4;8;10;8;9;9;0;0;0;0;0;0;2;1;1;1;0;0;2015;4;3;1;7;7;6;9995;9;7;3;1;0;0;2015;4;3;0;0;0;0;0;0;0;2;3;1;5;3;4;1;4;5;0;2019;8;33;16;6;0;1;0;0;0;0;7;0;0;5;4;4;4;4;4;4;4;4;4;4;4;2;3;3;3;3;3;11;60;80;0;1;5915118999304;4;0;1;1;7;4;3;12;4;0;1055.0;1.0;363;8;23;3;18;0;1056.0;1.0;363;8;23;3;18;0.0;0;0.0;8;2;9;4;6;14;0;8;14;5;5;2;40;0;9;#NULL!;#NULL!;;;;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;0;0;1;591511899930401;1;8;0;2;9;4;11;6;14;0;14;5;5;0;0.0;0.0;13;0;0;414;414;151163
108287;0;59151189993;1;1;1;1;1;0;0;0;1;1056;363;1;8;8;23;36338;3;18;2;33;8;2;3;0;2;4;8;10;8;9;9;0;0;0;0;0;0;2;1;1;1;0;0;2015;4;3;1;7;7;6;9995;9;7;3;1;0;0;2015;4;3;0;0;0;0;0;0;0;2;3;1;5;3;4;1;4;5;0;2019;8;33;16;6;0;1;0;0;0;0;7;0;0;5;4;4;4;4;4;4;4;4;4;4;4;2;3;3;3;3;3;11;60;80;0;1;5915118999305;5;0;1;11;10;7;3;12;1;0;1056.0;1.0;363;8;23;3;18;0;1064.0;1.0;363;8;23;4;18;0.0;0;0.0;15;3;8;4;5;14;45;8;14;55;10;3;125;0;9;#NULL!;#NULL!;;;;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;0;0;1;591511899930501;1;15;0;3;8;4;11;5;14;45;14;55;10;0;0.0;0.0;13;0;0;414;414;151163
108288;0;59151189993;1;1;1;1;1;0;0;0;1;1056;363;1;8;8;23;36338;3;18;2;33;8;2;3;0;2;4;8;10;8;9;9;0;0;0;0;0;0;2;1;1;1;0;0;2015;4;3;1;7;7;6;9995;9;7;3;1;0;0;2015;4;3;0;0;0;0;0;0;0;2;3;1;5;3;4;1;4;5;0;2019;8;33;16;6;0;1;0;0;0;0;7;0;0;5;4;4;4;4;4;4;4;4;4;4;4;2;3;3;3;3;3;11;60;80;0;1;5915118999306;6;0;1;1;10;7;3;12;4;0;1064.0;1.0;363;8;23;4;18;0;1056.0;1.0;363;8;23;3;18;0.0;0;0.0;15;3;8;4;5;17;0;10;17;10;10;3;50;0;9;#NULL!;#NULL!;;;;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;0;0;1;591511899930601;1;15;0;3;8;4;11;5;17;0;17;10;10;0;0.0;0.0;13;0;0;414;414;151163
108289;0;59151189993;1;1;1;1;1;0;0;0;1;1056;363;1;8;8;23;36338;3;18;2;33;8;2;3;0;2;4;8;10;8;9;9;0;0;0;0;0;0;2;1;1;1;0;0;2015;4;3;1;7;7;6;9995;9;7;3;1;0;0;2015;4;3;0;0;0;0;0;0;0;2;3;1;5;3;4;1;4;5;0;2019;8;33;16;6;0;1;0;0;0;0;7;0;0;5;4;4;4;4;4;4;4;4;4;4;4;2;3;3;3;3;3;11;60;80;0;1;5915118999307;7;0;1;1;13;9;3;12;1;0;1056.0;1.0;363;8;23;3;18;0;1055.0;1.0;363;8;23;3;18;0.0;0;0.0;14;3;9;4;6;18;0;11;18;15;15;4;#NULL!;0;9;#NULL!;#NULL!;;;;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;0;0;1;591511899930701;1;14;0;3;9;4;11;6;18;0;18;15;15;0;0.0;0.0;13;0;0;414;414;151163
