,Unnamed: 0,OPID,VertPC,AankPC,VertUur,VertMin,Reisduur,Hvm,geometry,length_m
1074,1103,58999336958,3452.0,3544.0,18,30,10,1,"LINESTRING (130483.07018755696 456828.2775670636, 130486.60436792689 456826.58011161233, 130572.48816967184 456802.72614821285, 130638.84513252034 456784.6880577559, 130713.74440526674 456764.6620859782, 130728.50268607809 456761.57489926525, 130788.58201930246 456751.557982293, 130817.73806668271 456599.2556420899, 130933.88653853416 456470.29737684765, 131036.19565324222 456325.10878605687, 131095.76631275064 456215.1078987645, 131130.47201137414 456142.73299864214, 131135.34455351732 456144.16714793484, 131346.85141963998 456186.25983717106, 131424.5064838924 456195.7601905007, 131472.33412689186 456269.84496361663, 131554.8061396833 456235.9105921621, 131623.81215009582 456235.3078180329, 131660.38529394066 456235.125030622, 131683.49213354845 456234.8720748953, 131795.4796806492 456235.75052395125, 131914.89261199563 456234.48308860825, 131914.8347887342 456179.17562228383, 131914.79377668782 456165.90240193915, 131914.66755288147 456126.8727086776, 131981.98009518234 456127.2618631978, 132076.25325234572 456127.8058204849)",2132.5646315060567
1087,1117,58999338942,3571.0,2516.0,6,45,50,1,"LINESTRING (137589.7636619155 457844.3957359527, 137491.966448886 457722.38589082414, 137395.24815082393 457678.1785246284, 137376.4806667124 457698.6056148051, 137285.861148344 457801.47613445227, 137235.22986859473 457673.5180642854, 137168.22317963158 457700.7161599467, 137115.5705565863 457562.3637074194, 137076.85104690527 457462.2351838434, 137061.20581584628 457423.1056642943, 136739.36972455546 457534.94712368306, 136557.05210077539 457583.72861054883, 136461.07910640136 457597.28078405117, 136381.73686037658 457618.95019482926, 136203.61494745684 457868.07578348485, 136191.67689165764 457861.5009008053, 135969.45824501937 457732.9611023805, 135892.37450134172 457642.34557643277, 135838.59702315036 457619.79962562484, 135806.20876829204 457604.6038953253, 135754.9259027736 457552.37604036415, 135719.9920227851 457504.53575286927, 135602.52113031913 457577.89026032895, 135575.26161774452 457593.85124342656, 135481.34501088315 457648.9033793884, 135423.53273954958 457686.1246714907, 135347.01991229097 457735.81491174526, 135297.44950142188 457781.28292286163, 135256.17085303314 457816.7829472059, 135229.8801016136 457843.1893705317, 135199.94616604707 457885.353815144, 135178.89667555387 457904.8637478386, 135159.96477784083 457886.73697268736, 135050.0111397783 457768.45045653323, 134937.05759423692 457656.753965758, 134920.52517031174 457636.0928071683, 134788.39002493164 457482.3649881763, 134746.4337595709 457438.6544183644, 134711.6729239984 457402.23580384144, 134672.56157619818 457360.928610773, 134643.75062230998 457330.5053638427, 134625.6457410991 457312.90015803673, 134547.384820374 457223.5006872887, 134400.49249114047 456944.7980471165, 134389.21906575395 456873.17066439963, 134388.15805573596 456865.1531718796, 134374.74086069473 456762.42625589477, 134367.35513813753 456708.10609298735, 134350.6969474228 456580.84862578905, 134298.5851113219 456582.65616160963, 134282.21724230924 456584.90498483676, 134230.35388399108 456592.0527077348, 134164.70502067608 456576.6060226055, 133844.62753908167 456639.1386484757, 133642.09137560747 456664.236378982, 133423.62622538966 456703.6861552589, 133234.6606244448 456728.463530215, 133206.18931198164 456733.0719524924, 133185.40901819683 456730.50387807447, 133151.7253249807 456713.74003272, 132767.94848612775 456530.40215780004, 132735.69959248105 456599.08294947026, 132703.1895154981 456664.3271753614, 132670.21966390408 456735.33699586673, 132665.79312241814 456742.96709867887, 132644.08444267095 456886.12369969493, 132659.92220036365 457075.9747666432, 132667.43576421269 457144.04378955625, 132669.31019471516 457170.8714900537, 132668.72614130037 457175.07977116056, 132653.4585666511 457191.3701517297, 132551.7350918297 457254.0674038832, 132383.9132022395 457541.64695107023, 132129.30226502818 457759.98127030133, 131792.58300346864 458009.1745170586, 131287.44910406802 458352.45006865263, 130976.50087153517 458562.5126584076, 130872.19958667587 458632.97868509905, 130554.14975969399 458847.3192677837, 130353.22817745045 458986.2418149617, 130012.29969614097 459398.1311718095, 129937.08299506488 459367.13397434086, 129753.47627525717 459176.5705263461, 129523.38996977088 458485.7973547158)",11748.240177684442
1088,1118,58999338942,2516.0,3571.0,16,30,65,1,"LINESTRING (129523.38996977088 458485.7973547158, 129753.47627525717 459176.5705263461, 129940.71039809319 459362.5873453761, 130012.29969614097 459398.1311718095, 130353.22817745045 458986.2418149617, 130554.14975969399 458847.3192677837, 130872.19958667587 458632.97868509905, 130976.50087153517 458562.5126584076, 131287.44910406802 458352.45006865263, 131792.58300346864 458009.1745170586, 132129.30226502818 457759.98127030133, 132383.9132022395 457541.64695107023, 132551.7350918297 457254.0674038832, 132539.37400954703 457244.7439009639, 132545.3126077376 457239.82161689515, 132649.05337480485 457177.72710781905, 132658.32057544988 457161.79743737646, 132650.56695917324 457076.9179932575, 132632.6334270687 456887.3545264072, 132656.4560762098 456740.4722706336, 132661.35455905134 456731.1266249242, 132703.1895154981 456664.3271753614, 132735.69959248105 456599.08294947026, 132767.94848612775 456530.40215780004, 132773.39025548467 456518.3283129174, 133183.8591956905 456719.2844680634, 133201.16003205735 456725.30573325936, 133226.84097720598 456714.07835393236, 133414.57100565263 456695.0025908546, 133642.09137560747 456664.236378982, 133844.62753908167 456639.1386484757, 134159.50098048913 456567.6935915301, 134239.81488132314 456397.70783760183, 134245.31600108685 456389.1178327148, 134319.39259246475 456341.1232002912, 134331.1672100901 456338.21488990536, 134347.25649877035 456334.68789346673, 134365.2768204216 456330.8080347174, 134670.8620416993 456258.88887047133, 134705.89698651063 456256.32040681236, 134807.5735520602 456232.9093081516, 134839.7094167551 456214.9773620936, 135052.29126043507 456170.061671158, 135086.75296968003 456162.75850007735, 135113.6282043567 456157.0880247729, 135308.9456901236 456127.8732954159, 135496.51330519334 456100.0762388398, 135535.60853623867 456094.4603119946, 135563.69697322758 456090.3785514457, 135642.88387072636 456090.3258480894, 135646.04051329847 456091.41504933743, 135681.82071880274 456118.00076921104, 135970.84196900117 456322.8635334973, 135977.43621395977 456332.32882875385, 135948.1482074683 456387.9597538581, 135982.3565647435 456411.26034039917, 136125.61511510622 456482.9674191042, 136228.35448963076 456533.7474530196, 136225.55418524996 456556.1658428912, 136211.68117703122 456575.1435778444, 136190.99789860216 456607.04215868487, 136174.43854752992 456634.94210651313, 136151.93109468734 456669.940793379, 136255.27715163736 456724.6131910242, 136280.0673013523 456742.55517634685, 136371.1321858422 456797.40969950974, 136402.4552011682 456814.49338907073, 136447.87756907928 456823.71421660914, 136493.081042801 456833.08091078606, 136532.7745748234 456840.3990174659, 136571.0358156924 456847.68936639227, 136578.17770074078 456851.9575712518, 136607.96129278094 456877.3593965166, 136652.59785922838 456933.89288402937, 136754.51724132444 457026.6764206781, 136866.80418717643 457128.31395003863, 136908.8824766502 457172.3533951074, 136955.2267138019 457176.2238675333, 137014.10978903563 457191.63163391297, 137070.652075048 457205.9136745848, 137164.08012586908 457231.0231474834, 137210.9188147921 457243.09411279723, 137276.7135455298 457262.3966411692, 137284.46242149183 457279.6922783517, 137288.20913990377 457294.81034371594, 137299.0824926842 457316.055750782, 137383.54408224317 457278.76195410773, 137392.29124636762 457272.36690431926, 137418.84528332192 457265.97567848535, 137428.92538610208 457268.3877999257, 137444.39058123503 457296.0147760945, 137431.94208628012 457311.66853251396, 137427.59615333012 457367.3140346047, 137431.03659160453 457387.0283400782, 137450.8359662352 457441.2090030823, 137508.77591633098 457596.99197598116, 137523.91865338656 457636.6030794229, 137545.09542871552 457675.8370246259, 137538.1822702671 457683.46036471095, 137491.966448886 457722.38589082414, 137589.7636619155 457844.3957359527)",11484.41872745548
1089,1119,58999338942,3571.0,3565.0,18,35,15,1,"LINESTRING (137589.7636619155 457844.3957359527, 137491.966448886 457722.38589082414, 137395.24815082393 457678.1785246284, 137376.4806667124 457698.6056148051, 137285.861148344 457801.47613445227, 137235.22986859473 457673.5180642854, 137168.22317963158 457700.7161599467, 137115.5705565863 457562.3637074194, 137076.85104690527 457462.2351838434, 137061.20581584628 457423.1056642943, 136739.36972455546 457534.94712368306, 136557.05210077539 457583.72861054883, 136461.07910640136 457597.28078405117, 136381.73686037658 457618.95019482926, 136203.61494745684 457868.07578348485, 136146.980672593 457956.5641962975, 136098.69357506407 458036.4099856314, 136084.14270523668 458059.6519957048, 136071.9595045752 458078.59038220625, 135943.85946219726 458221.871298894, 135893.28336688984 458273.15618257766, 135765.99098409349 458397.7023756153, 135739.41260489036 458424.01823266514, 135671.21461752226 458496.0459142642, 135584.2507055353 458582.1443641559, 135663.85579068388 458682.2470566286, 135557.5435639459 458799.30725696357, 135522.37286240346 458850.1797748354, 135509.03398176536 458872.0391417165, 135494.90055121185 458895.6039515845, 135484.40884853096 458915.12687159365, 135475.6645819554 458929.6250930809, 135427.6240751991 459007.7966107122, 135395.86305367347 459050.72374001186, 135380.14314956722 459071.17983882426, 135336.81912387046 459115.10982766794, 135311.80656185572 459139.2300007089, 135269.22068459925 459175.56967718404, 135255.20910653024 459186.1950687696, 135213.75285737216 459213.6187472492, 135166.02070138825 459242.0246449282, 135116.0930531227 459269.31604810595, 135139.8412808691 459311.4335286352, 135156.80397538582 459340.2713924556, 135137.3711007693 459358.27310311946, 135128.9727106399 459364.61514803406, 135087.07333735254 459405.6822596091, 135144.77613721736 459466.7674155227, 134958.12134985073 459573.5033776503, 134942.7755276847 459582.27698555513, 134853.9821438684 459658.61605383997, 134844.6516368234 459667.93303136056, 134830.89085020966 459682.4193784859, 134748.12566107523 459765.10004894517, 134692.7975228386 459819.67671454244, 134622.9276545733 459889.7566144759, 134566.8665337994 459945.26117782784, 134482.43684904173 460029.0101734482, 134410.17580416004 460095.67614466907, 134332.2256012347 460020.47553548205)",5185.213914845247
1090,1120,58999338942,3565.0,3571.0,21,20,10,1,"LINESTRING (134332.2256012347 460020.47553548205, 134410.17580416004 460095.67614466907, 134482.43684904173 460029.0101734482, 134566.8665337994 459945.26117782784, 134622.9276545733 459889.7566144759, 134692.7975228386 459819.67671454244, 134748.12566107523 459765.10004894517, 134830.89085020966 459682.4193784859, 134844.6516368234 459667.93303136056, 134853.9821438684 459658.61605383997, 134942.7755276847 459582.27698555513, 134958.12134985073 459573.5033776503, 135144.77613721736 459466.7674155227, 135087.07333735254 459405.6822596091, 135128.9727106399 459364.61514803406, 135137.3711007693 459358.27310311946, 135156.80397538582 459340.2713924556, 135139.8412808691 459311.4335286352, 135116.0930531227 459269.31604810595, 135166.02070138825 459242.0246449282, 135213.75285737216 459213.6187472492, 135255.20910653024 459186.1950687696, 135269.22068459925 459175.56967718404, 135311.80656185572 459139.2300007089, 135336.81912387046 459115.10982766794, 135380.14314956722 459071.17983882426, 135395.86305367347 459050.72374001186, 135427.6240751991 459007.7966107122, 135475.6645819554 458929.6250930809, 135484.40884853096 458915.12687159365, 135494.90055121185 458895.6039515845, 135509.03398176536 458872.0391417165, 135522.37286240346 458850.1797748354, 135557.5435639459 458799.30725696357, 135663.85579068388 458682.2470566286, 135584.2507055353 458582.1443641559, 135565.8806005196 458563.0125065534, 135651.13684583222 458476.3752028831, 135710.75749843352 458391.6522816583, 135734.03067353205 458369.7216173087, 135881.03104749217 458261.30949794105, 135891.23417572776 458251.49048372905, 136079.4558312877 458044.9166675235, 136191.67689165764 457861.5009008053, 136339.83703720922 457597.1777275253, 136358.63938368793 457572.4519248997, 136364.56114717564 457569.4590867732, 136379.1968503012 457568.14704640664, 136555.2161837591 457565.2884350054, 136728.42769108387 457519.7779955704, 136739.36972455546 457534.94712368306, 136759.43782883044 457583.90597778896, 136768.17451819018 457580.6251511995, 136825.8687916754 457558.68491325097, 136885.0588688603 457535.3491466176, 136946.09483897567 457512.6749520787, 137008.03022678616 457488.4851165069, 137044.41280420302 457588.0763707115, 137115.5705565863 457562.3637074194, 137183.43106151107 457537.83210650383, 137194.13911525958 457533.9664176131, 137220.14663086785 457524.63880289625, 137224.8538229026 457522.8640705334, 137248.7314252156 457546.36602231854, 137395.24815082393 457678.1785246284, 137491.966448886 457722.38589082414, 137589.7636619155 457844.3957359527)",5100.334943889337
1096,1126,58999339004,3722.0,3722.0,20,30,5,1,,
1097,1127,58999339407,5146.0,5161.0,12,15,15,1,"LINESTRING (135775.24752808316 451777.3885492118, 135757.11905276024 452136.0928287797, 135728.50535873335 452253.1150884384, 135727.7317890433 452269.4398764304, 135754.6231265315 452468.24601529265, 135748.84406427562 452490.1308776476, 135744.66622186184 452496.88936249935, 135702.61808700094 452507.07656042295, 135279.6763976871 452530.78448896384, 134749.37641841604 452613.30828713987, 134406.62720388267 452677.97577151645, 134167.08595157458 452770.015807563, 133526.81002898907 453001.32964026544, 133320.98721887544 453077.0325017874, 133242.16664255905 453128.0440491707, 133109.78806605437 452636.3204236418, 133006.92523259576 452183.8339105637)",4303.367902755864
1107,1137,58999340492,3523.0,3526.0,13,30,10,1,"LINESTRING (136976.8642156197 453872.8897115998, 136869.53666058218 453879.8213533633, 136758.77470601475 453886.81239299645, 136733.15350708706 453888.6753337541, 136710.21791124335 453889.9944957301, 136604.4938695966 453913.2255353889, 136573.783608109 453823.7303875534, 136553.79029848403 453769.8545055848, 136496.21961120018 453615.16101466346, 136471.12366859883 453546.61813802744, 136451.59784158823 453493.66439428506, 136408.54106062598 453375.02171905426, 136358.76203481766 453234.286137476, 136353.749417894 453221.4210184948, 136298.48248260346 453239.8191874467, 136242.10919239407 453257.4766981968, 136232.67180982465 453256.8891927361, 136189.8732451333 453246.67009533464, 136058.00230277306 453225.6410678028, 135849.18597023774 453209.5725596493, 135830.41105498312 453227.29058877507, 135797.50483343075 453225.6483087903, 135786.34697483288 453216.3677634227, 135797.88016832015 453159.3693854726, 135826.98886553582 452943.891665492, 135805.37049208893 452946.4448885289, 135537.45403167952 453094.31406071776)",2301.714676076126
1108,1138,58999340492,3526.0,3523.0,16,0,10,1,"LINESTRING (135537.45403167952 453094.31406071776, 135805.37049208893 452946.4448885289, 135826.98886553582 452943.891665492, 135839.2600985474 452946.5480613922, 135840.38010703796 452961.3969340526, 135842.2971805055 453053.3346499999, 135838.5532221218 453128.22689756786, 135845.21114031278 453169.1449002306, 135849.65287107817 453175.8479140308, 135968.04547147878 453207.737366129, 136058.00230277306 453225.6410678028, 136189.8732451333 453246.67009533464, 136233.45751098654 453248.853276015, 136242.75647250484 453249.09639897523, 136298.48248260346 453239.8191874467, 136353.749417894 453221.4210184948, 136358.76203481766 453234.286137476, 136408.54106062598 453375.02171905426, 136451.59784158823 453493.66439428506, 136471.12366859883 453546.61813802744, 136496.21961120018 453615.16101466346, 136553.79029848403 453769.8545055848, 136573.783608109 453823.7303875534, 136604.4938695966 453913.2255353889, 136710.21791124335 453889.9944957301, 136733.15350708706 453888.6753337541, 136758.77470601475 453886.81239299645, 136869.53666058218 453879.8213533633, 136976.8642156197 453872.8897115998)",2198.540450564014
1109,1139,58999340616,3453.0,3452.0,10,0,10,1,,
1110,1140,58999340616,3452.0,3453.0,10,30,10,1,"LINESTRING (130483.07018755696 456828.2775670636, 130486.60436792689 456826.58011161233, 130572.48816967184 456802.72614821285, 130638.84513252034 456784.6880577559, 130713.74440526674 456764.6620859782, 130728.50268607809 456761.57489926525, 130788.58201930246 456751.557982293, 130817.73806668271 456599.2556420899, 130933.88653853416 456470.29737684765, 131036.19565324222 456325.10878605687, 131095.76631275064 456215.1078987645, 131130.47201137414 456142.73299864214, 131184.0346912965 456013.69193351717, 131216.85387453236 455901.6399635876, 131218.9975182648 455891.29358939896, 131234.77367230537 455793.62024416955, 131288.2247592956 455635.46399368526)",1559.8590806725906
1123,1153,58999341856,3582.0,3722.0,14,15,15,1,,
1124,1154,58999341856,3722.0,3582.0,15,50,20,1,"LINESTRING (140793.05917835567 456090.2629882411, 140351.28055897658 456136.98187976336, 139563.71442642226 456000.6095484431, 139096.83569007067 455869.24597395293, 138604.7758275133 455622.2764317325, 138592.35503419166 455607.13037420687, 138453.28026786825 455031.85416015855, 138315.56097235804 454801.00455158745, 138265.1923514832 454695.08734910475, 138234.7017946788 454630.0139233424, 138220.70727626077 454637.14830947045, 138163.41757627408 454644.6069514538, 138142.85673913534 454637.7561539493, 138063.6152014539 454634.49810586096, 137892.29902081392 454617.9719789562, 137869.79416262673 454616.0689235268, 137850.74408458307 454614.120692426, 137814.71764287812 454609.26045696123, 137678.0827884411 454587.7266929705, 137663.0991831105 454590.1709251157, 137654.0163027995 454643.3402617643, 137645.194030429 454714.18790427403)",4051.984975643478
1141,1171,58999342724,3523.0,3645.0,9,20,40,1,"LINESTRING (136976.8642156197 453872.8897115998, 136869.53666058218 453879.8213533633, 136758.77470601475 453886.81239299645, 136733.15350708706 453888.6753337541, 136710.21791124335 453889.9944957301, 136604.4938695966 453913.2255353889, 136555.91855105924 453935.3790190258, 136483.00103409332 453971.241637302, 136429.64669930039 453996.6629207897, 136371.20811881035 454024.5292616062, 136314.8339515576 454050.6083881532, 136281.68794166288 454065.7529525133, 136273.41451591707 454077.11031595257, 136285.78538262428 454236.610538551, 136288.2379605971 454279.9370675986, 136293.7164302724 454347.69604309084, 136295.90709919776 454387.0293336442, 136292.21372108383 454398.42510185746, 136312.18784777872 454408.7306537328, 136353.47991815937 454451.4220667198, 136354.93077096922 454463.5773476924, 136326.17769710018 454519.71561567736, 136241.32857253027 454661.07884166384, 136209.5727016419 454716.4836829281, 136202.0684356157 454729.69632131065, 136199.1061202969 454734.8810971978, 136168.7710543981 454790.52561652526, 136129.10850868723 454857.3316776535, 136101.94312936885 454904.28632397595, 136071.02430946677 454955.4721500623, 136054.98784476603 454983.370417141, 136030.8073879167 455023.60512631666, 136006.27552384138 455065.05403294665, 135983.2234969703 455106.20813588996, 135978.16917440522 455123.4616354965, 135934.58062388736 455241.19694209244, 135932.4907256212 455244.94328665454, 135848.977333887 455392.41653341625, 135786.65952800383 455498.6876163197, 135897.12702167963 455565.719523595, 135742.9878167787 455855.07822604943, 135734.54372799437 455851.35030525445, 135751.5070646428 455778.99889604945, 135644.00335925075 455745.53703118465, 135637.0529652357 455757.6358002473, 135632.02504654392 455767.1013566867, 135626.07675273117 455797.1758998785, 135623.9886345871 455806.54101546784, 135617.74003345557 455824.58950542635, 135609.2691589593 455852.72684085724, 135569.61171384208 455967.63534608897, 135535.60853623867 456094.4603119946, 135528.48020161994 456106.4264261667, 135403.36695381155 456126.25451251277, 135241.9992708885 456150.47968861077, 135089.86048668108 456178.9567048147, 134844.21671179938 456229.7344892395, 134807.5735520602 456232.9093081516, 134705.89698651063 456256.32040681236, 134674.90430743428 456272.09010093036, 134445.22968121117 456329.6093387366, 134333.2676607984 456355.5628042614, 134321.52104823684 456358.6045061941, 134301.23010289465 456365.1753458996, 134248.06891874934 456400.17677369167, 134169.17114736012 456571.30244925566, 134164.70502067608 456576.6060226055, 133844.62753908167 456639.1386484757, 133642.09137560747 456664.236378982, 133423.62622538966 456703.6861552589, 133234.6606244448 456728.463530215, 133206.18931198164 456733.0719524924, 133185.40901819683 456730.50387807447, 133151.7253249807 456713.74003272, 132767.94848612775 456530.40215780004, 132735.69959248105 456599.08294947026, 132703.1895154981 456664.3271753614, 132670.21966390408 456735.33699586673, 132665.79312241814 456742.96709867887, 132644.08444267095 456886.12369969493, 132659.92220036365 457075.9747666432, 132667.43576421269 457144.04378955625, 132669.31019471516 457170.8714900537, 132668.72614130037 457175.07977116056, 132653.4585666511 457191.3701517297, 132551.7350918297 457254.0674038832, 132383.9132022395 457541.64695107023, 132129.30226502818 457759.98127030133, 131792.58300346864 458009.1745170586, 131287.44910406802 458352.45006865263, 130976.50087153517 458562.5126584076, 130872.19958667587 458632.97868509905, 130554.14975969399 458847.3192677837, 130353.22817745045 458986.2418149617, 130012.29969614097 459398.1311718095, 129937.08299506488 459367.13397434086)",10606.479006778009
1142,1172,58999342724,3645.0,3523.0,17,0,35,1,"LINESTRING (129937.08299506488 459367.13397434086, 129940.71039809319 459362.5873453761, 130012.29969614097 459398.1311718095, 130353.22817745045 458986.2418149617, 130554.14975969399 458847.3192677837, 130872.19958667587 458632.97868509905, 130976.50087153517 458562.5126584076, 131287.44910406802 458352.45006865263, 131792.58300346864 458009.1745170586, 132129.30226502818 457759.98127030133, 132383.9132022395 457541.64695107023, 132551.7350918297 457254.0674038832, 132539.37400954703 457244.7439009639, 132545.3126077376 457239.82161689515, 132649.05337480485 457177.72710781905, 132658.32057544988 457161.79743737646, 132650.56695917324 457076.9179932575, 132632.6334270687 456887.3545264072, 132656.4560762098 456740.4722706336, 132661.35455905134 456731.1266249242, 132703.1895154981 456664.3271753614, 132735.69959248105 456599.08294947026, 132767.94848612775 456530.40215780004, 132773.39025548467 456518.3283129174, 133183.8591956905 456719.2844680634, 133201.16003205735 456725.30573325936, 133226.84097720598 456714.07835393236, 133414.57100565263 456695.0025908546, 133642.09137560747 456664.236378982, 133844.62753908167 456639.1386484757, 134159.50098048913 456567.6935915301, 134239.81488132314 456397.70783760183, 134245.31600108685 456389.1178327148, 134319.39259246475 456341.1232002912, 134331.1672100901 456338.21488990536, 134347.25649877035 456334.68789346673, 134365.2768204216 456330.8080347174, 134670.8620416993 456258.88887047133, 134705.89698651063 456256.32040681236, 134807.5735520602 456232.9093081516, 134839.7094167551 456214.9773620936, 135052.29126043507 456170.061671158, 135086.75296968003 456162.75850007735, 135113.6282043567 456157.0880247729, 135308.9456901236 456127.8732954159, 135496.51330519334 456100.0762388398, 135535.60853623867 456094.4603119946, 135563.69697322758 456090.3785514457, 135642.88387072636 456090.3258480894, 135646.04051329847 456091.41504933743, 135681.82071880274 456118.00076921104, 135970.84196900117 456322.8635334973, 136013.17796745454 456247.3674991828, 136091.19993304854 456109.10773579124, 136095.62483359547 456103.12737764453, 136233.34206885486 455859.2022297856, 136275.02715087356 455781.6304024258, 136326.27231891063 455703.53352166427, 136354.04519816965 455654.70858894975, 136399.67292454824 455576.63353541994, 136490.30554974626 455417.7166701778, 136568.690798885 455274.17848537164, 136584.54228988805 455247.6399287221, 136637.10371626218 455151.917900257, 136681.52273778417 455035.3428964223, 136700.10511339008 454971.88973138866, 136748.74292297268 454771.1650745598, 136749.8230479356 454766.621708654, 136794.16054341177 454708.55971009977, 136794.73649666543 454695.47343371186, 136784.9835816679 454675.3265474101, 136767.3776912917 454648.499454894, 136747.14056208634 454623.896142542, 136733.73041486752 454601.0257704165, 136691.72367309214 454539.85356651247, 136688.01566778516 454534.43771660887, 136797.81378341425 454464.6534511794, 136849.778733211 454431.3194415234, 136929.42529865933 454390.1306334389, 136901.414106309 454288.25155277934, 136900.4373179443 454255.2776764193, 136891.47792665072 454114.1103591712, 136877.83038656102 453907.49486141984, 136869.53666058218 453879.8213533633, 136976.8642156197 453872.8897115998)",10708.85765198577
1143,1173,58999343096,3554.0,1098.0,10,15,45,1,"LINESTRING (134837.6770455701 458548.82141364337, 134812.8652407292 458521.26262027473, 134765.0819245569 458475.8843624104, 134770.29466455567 458470.8452970694, 134808.9387634355 458433.12663629994, 134825.82744845728 458417.1811956248, 134850.2064641998 458393.5952278192, 134889.0162783699 458359.2922341366, 134891.7274752183 458357.25632735953, 134916.9546619696 458331.5199309441, 134918.3959644754 458301.67397935403, 134901.63199322237 458268.9753971783, 134881.00703833214 458225.0885303133, 134836.04154799785 458133.524999095, 134820.22331687494 458097.8188207016, 134799.98085904118 458038.82153650123, 134790.75388386837 458037.2568587204, 134767.63772647112 458012.95134773327, 134766.12006329824 458001.93158372055, 134788.3684683916 457979.5667446776, 134798.05559212258 457957.77592779807, 134812.91942573665 457918.518444034, 134858.6551925422 457797.0589193372, 134902.76070037077 457680.19037273567, 134904.46568187373 457676.5786406084, 134920.52517031174 457636.0928071683, 134788.39002493164 457482.3649881763, 134746.4337595709 457438.6544183644, 134711.6729239984 457402.23580384144, 134672.56157619818 457360.928610773, 134643.75062230998 457330.5053638427, 134625.6457410991 457312.90015803673, 134547.384820374 457223.5006872887, 134400.49249114047 456944.7980471165, 134389.21906575395 456873.17066439963, 134388.15805573596 456865.1531718796, 134374.74086069473 456762.42625589477, 134367.35513813753 456708.10609298735, 134350.6969474228 456580.84862578905, 134298.5851113219 456582.65616160963, 134282.21724230924 456584.90498483676, 134230.35388399108 456592.0527077348, 134164.70502067608 456576.6060226055, 133844.62753908167 456639.1386484757, 133642.09137560747 456664.236378982, 133423.62622538966 456703.6861552589, 133095.18752851093 456931.64795432234, 133125.30043081348 456942.2521404747, 133082.05691736427 457040.00699567015, 133186.31768135738 457095.6242317775, 133102.94333794896 457496.6294841115, 133072.80806714037 457553.2604697298, 133029.7054857313 457631.8227829602, 132909.08164383957 457841.90573524474, 132850.68859788828 457931.63030521764, 132524.32979184276 458426.2809113971, 132494.28305864503 458470.99909058615, 132427.54610308303 458578.34581786965, 132367.67976520705 458641.5249169249, 132355.704893034 458650.1576571598, 132309.8064246149 458672.7970914153, 132204.1939636033 458690.88156492956, 132068.8744815114 458710.1287754199, 131939.6070641995 458728.5394033562, 131789.0126826593 458760.4376142413, 131725.3783187117 458808.0655422889, 131658.52177044202 458876.6821640456, 131568.1302746701 458963.5572553698, 131548.33552142401 458986.64827279956, 131499.272843544 459038.3159870202, 131325.85623792477 459206.94290146016, 131322.00936215202 459243.3548074406, 131246.93894648328 459565.71444968175, 131243.90883817762 459569.35604864685, 131230.2207411505 459611.25576516695, 131241.31012365 459634.61216848745, 131324.5725324214 459739.92448626587, 131355.21309323827 459764.868129562, 131392.8066046029 459800.4377881648, 131412.05868554302 459819.69477746484, 131448.24105908096 459858.2311028866, 131467.87822994625 459877.9204028256, 131487.33471707272 459899.9805032879, 131636.57322232472 460036.1285183574)",7939.323971330947
1144,1174,58999343096,1098.0,2021.0,17,30,45,1,"LINESTRING (131636.57322232472 460036.1285183574, 131487.33471707272 459899.9805032879, 131467.87822994625 459877.9204028256, 131448.24105908096 459858.2311028866, 131412.05868554302 459819.69477746484, 131392.8066046029 459800.4377881648, 131355.21309323827 459764.868129562, 131324.5725324214 459739.92448626587, 131397.12078527763 459648.9571216311, 131424.72707086787 459613.0889824973, 131482.20055540593 459538.4051823783, 131505.34778943556 459509.3677934652, 131590.9983480132 459399.74966748036, 131612.71398820519 459373.3007954099, 131700.51484974084 459253.8612471067, 131711.9459993973 459240.82350385835, 131550.35061568368 459087.1744756509, 131499.272843544 459038.3159870202, 131485.04165871523 459024.07505808363, 131558.23667059958 458954.11329552176, 131649.25913008736 458865.9555584034, 131777.99648581675 458740.87368885294, 131936.54231901656 458716.0701096102, 132064.37868592195 458697.6993819474, 132202.32585309376 458677.82806916384, 132349.75767080934 458639.2366443911, 132332.77180582026 458597.40196738334, 132112.72439541775 458087.77689323056, 132027.18619601053 457947.33696105407, 132047.07520347886 457643.36904287606, 132054.4992627731 457653.2481491953, 132087.88886695247 457700.42468184227, 132129.30226502818 457759.98127030133, 131792.58300346864 458009.1745170586, 131287.44910406802 458352.45006865263, 130976.50087153517 458562.5126584076, 130872.19958667587 458632.97868509905, 130554.14975969399 458847.3192677837, 130353.22817745045 458986.2418149617, 130012.29969614097 459398.1311718095, 129937.08299506488 459367.13397434086)",6351.754140085665
